epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.47,2.44679,3.48599,2.48311,0.08766,0.04851,0.02604,0.00851,2.90973,3.46198,2.80636,0.0675673,0.000831608,0.000831608
2,280.936,2.45531,3.4537,2.56972,0.2433,0.08868,0.06773,0.0216,2.73569,4.64301,2.68885,0.0350618,0.00165945,0.00165945
3,417.744,2.36682,3.32577,2.45367,0.45033,0.12493,0.07589,0.02619,2.4154,3.53932,2.49353,0.0025508,0.00248179,0.00248179
4,553.42,2.28781,3.15192,2.36738,0.19225,0.16299,0.11118,0.03911,2.40493,3.02568,2.37477,0.00247525,0.00247525,0.00247525
5,689.864,2.23937,3.04005,2.27405,0.31963,0.23217,0.14874,0.05759,2.19517,2.77584,2.25429,0.002467,0.002467,0.002467
6,826.193,2.14193,2.91362,2.21842,0.33469,0.21841,0.16869,0.0672,2.13592,2.93583,2.24189,0.00245875,0.00245875,0.00245875
7,962.951,2.12793,2.88331,2.19638,0.28918,0.24301,0.2032,0.09266,2.05734,2.76447,2.10386,0.0024505,0.0024505,0.0024505
8,1099.56,2.0925,2.74875,2.15037,0.30042,0.27785,0.20022,0.08326,2.00353,2.51911,2.05398,0.00244225,0.00244225,0.00244225
9,1235.29,2.05855,2.7119,2.10744,0.34919,0.25525,0.21007,0.08608,2.03209,2.74087,2.09526,0.002434,0.002434,0.002434
10,1371.63,2.04974,2.67662,2.08504,0.37213,0.32102,0.2769,0.12393,1.97913,2.362,2.00738,0.00242575,0.00242575,0.00242575
11,1507.75,2.01482,2.62252,2.074,0.38638,0.35834,0.2948,0.12921,1.95367,2.40639,1.98528,0.0024175,0.0024175,0.0024175
12,1644.27,2.00458,2.56369,2.04601,0.42238,0.35867,0.32256,0.14842,1.91818,2.27085,1.96766,0.00240925,0.00240925,0.00240925
13,1780.49,1.97486,2.50871,2.02255,0.40379,0.3544,0.31428,0.15043,1.92776,2.30198,1.965,0.002401,0.002401,0.002401
14,1916.94,1.96671,2.49629,2.02052,0.39028,0.38152,0.3383,0.15315,1.90023,2.28852,1.97068,0.00239275,0.00239275,0.00239275
15,2053.15,1.9503,2.46271,1.98789,0.47589,0.39561,0.35701,0.16358,1.89858,2.27708,1.91656,0.0023845,0.0023845,0.0023845
16,2189.37,1.93192,2.42805,1.96732,0.4781,0.41067,0.4052,0.19367,1.85288,2.11728,1.92576,0.00237625,0.00237625,0.00237625
17,2325.49,1.91748,2.38928,1.9656,0.44233,0.42429,0.4033,0.19449,1.85598,2.00562,1.87005,0.002368,0.002368,0.002368
18,2461.43,1.91564,2.38617,1.96042,0.46559,0.42187,0.40313,0.19157,1.86071,2.04077,1.92037,0.00235975,0.00235975,0.00235975
19,2597.57,1.90511,2.34249,1.95021,0.41596,0.40677,0.3691,0.17577,1.86761,2.1539,1.91318,0.0023515,0.0023515,0.0023515
20,2733.5,1.89576,2.32339,1.93553,0.4933,0.40043,0.39248,0.19192,1.81279,2.03122,1.88494,0.00234325,0.00234325,0.00234325
21,2869.89,1.88948,2.29263,1.92707,0.49945,0.48221,0.45841,0.22068,1.82919,1.89591,1.854,0.002335,0.002335,0.002335
22,3006.37,1.87708,2.28006,1.90623,0.53155,0.45291,0.45196,0.21535,1.78989,1.99494,1.85313,0.00232675,0.00232675,0.00232675
23,3142.45,1.8554,2.2341,1.89284,0.52959,0.48135,0.47324,0.22835,1.76796,1.89751,1.8353,0.0023185,0.0023185,0.0023185
24,3278.64,1.85033,2.2027,1.89393,0.54164,0.47144,0.49395,0.24244,1.77801,1.86913,1.83008,0.00231025,0.00231025,0.00231025
25,3414.9,1.83714,2.19741,1.87438,0.48024,0.46732,0.43001,0.20809,1.76333,1.87909,1.81287,0.002302,0.002302,0.002302
26,3550.6,1.81486,2.13971,1.86431,0.53242,0.49515,0.47198,0.23039,1.75194,1.85124,1.78681,0.00229375,0.00229375,0.00229375
27,3686.62,1.8052,2.13568,1.85704,0.62729,0.48745,0.53005,0.25992,1.72819,1.79907,1.79957,0.0022855,0.0022855,0.0022855
28,3822.58,1.82358,2.11212,1.86272,0.61263,0.49866,0.52654,0.2655,1.7402,1.78014,1.78626,0.00227725,0.00227725,0.00227725
29,3958.58,1.79006,2.09906,1.84286,0.59735,0.48969,0.52736,0.26548,1.7126,1.71867,1.77293,0.002269,0.002269,0.002269
30,4094.49,1.79654,2.07427,1.82837,0.59826,0.51239,0.52829,0.26057,1.69112,1.71894,1.72453,0.00226075,0.00226075,0.00226075
31,4230.01,1.79426,2.07172,1.83936,0.64009,0.4933,0.53979,0.26601,1.75697,1.72516,1.78929,0.0022525,0.0022525,0.0022525
32,4365.81,1.76611,2.04135,1.81188,0.60032,0.514,0.52176,0.26149,1.69649,1.76774,1.74739,0.00224425,0.00224425,0.00224425
33,4501.64,1.78024,2.03025,1.81453,0.61775,0.53129,0.54611,0.28027,1.70516,1.67233,1.74041,0.002236,0.002236,0.002236
34,4637.07,1.75889,2.01694,1.80049,0.60094,0.53038,0.55531,0.27595,1.69888,1.67073,1.76297,0.00222775,0.00222775,0.00222775
35,4772.98,1.75766,1.9821,1.80663,0.66131,0.5507,0.58502,0.29823,1.6672,1.60259,1.71302,0.0022195,0.0022195,0.0022195
36,4908.62,1.7462,1.97754,1.79711,0.61394,0.55061,0.56463,0.28852,1.66195,1.60923,1.73195,0.00221125,0.00221125,0.00221125
37,5044.04,1.74411,1.96783,1.80008,0.63001,0.55204,0.57559,0.29378,1.66403,1.63357,1.70839,0.002203,0.002203,0.002203
38,5179.64,1.73524,1.94455,1.78045,0.66806,0.57416,0.59033,0.2996,1.67608,1.56957,1.72263,0.00219475,0.00219475,0.00219475
39,5315.4,1.71523,1.91282,1.7628,0.63706,0.54973,0.56839,0.29543,1.66835,1.59914,1.71564,0.0021865,0.0021865,0.0021865
40,5451.02,1.7267,1.90904,1.75793,0.67606,0.56641,0.59283,0.30364,1.6763,1.54456,1.70411,0.00217825,0.00217825,0.00217825
41,5586.93,1.70884,1.88345,1.75469,0.668,0.56293,0.60317,0.30967,1.63378,1.52319,1.68693,0.00217,0.00217,0.00217
42,5721.8,1.7015,1.85881,1.74215,0.62585,0.60789,0.60959,0.31368,1.64559,1.53012,1.68833,0.00216175,0.00216175,0.00216175
43,5856.48,1.71042,1.86065,1.75145,0.6438,0.58289,0.62165,0.32397,1.64843,1.50279,1.69675,0.0021535,0.0021535,0.0021535
44,5991.34,1.69842,1.86124,1.74578,0.69144,0.58542,0.61248,0.31583,1.63884,1.50306,1.68966,0.00214525,0.00214525,0.00214525
45,6126.08,1.69146,1.82183,1.73431,0.66152,0.61131,0.62826,0.32523,1.64249,1.47642,1.69048,0.002137,0.002137,0.002137
46,6260.67,1.70393,1.83916,1.74926,0.66525,0.60219,0.62993,0.33499,1.60944,1.4772,1.65164,0.00212875,0.00212875,0.00212875
47,6395.44,1.68981,1.83487,1.73352,0.71158,0.59288,0.6355,0.33648,1.60908,1.4628,1.64197,0.0021205,0.0021205,0.0021205
48,6530.17,1.65582,1.78069,1.70437,0.68723,0.61146,0.64359,0.34414,1.60267,1.45697,1.65433,0.00211225,0.00211225,0.00211225
49,6664.53,1.68099,1.79414,1.72412,0.71518,0.60276,0.63862,0.33952,1.604,1.43915,1.64523,0.002104,0.002104,0.002104
50,6799.02,1.67128,1.77793,1.7135,0.74335,0.60285,0.64904,0.34029,1.62264,1.42456,1.65814,0.00209575,0.00209575,0.00209575
51,6934.14,1.66058,1.74339,1.70926,0.7027,0.59533,0.64682,0.34816,1.60773,1.43773,1.66173,0.0020875,0.0020875,0.0020875
52,7070.26,1.66266,1.76531,1.70672,0.72086,0.61642,0.65695,0.34977,1.60016,1.43147,1.64264,0.00207925,0.00207925,0.00207925
53,7209.28,1.64541,1.72925,1.69406,0.72223,0.62009,0.66127,0.34884,1.61301,1.40826,1.64685,0.002071,0.002071,0.002071
54,7344.41,1.65136,1.7126,1.69068,0.71044,0.62261,0.67874,0.36315,1.57014,1.39652,1.60808,0.00206275,0.00206275,0.00206275
55,7479.56,1.6211,1.67335,1.67021,0.72201,0.63246,0.68045,0.36183,1.59479,1.37538,1.62833,0.0020545,0.0020545,0.0020545
56,7614.72,1.63054,1.70977,1.66967,0.71981,0.63336,0.68208,0.36821,1.58747,1.37003,1.62846,0.00204625,0.00204625,0.00204625
57,7749.83,1.63666,1.68796,1.67882,0.72105,0.64853,0.69114,0.37113,1.57049,1.32884,1.61598,0.002038,0.002038,0.002038
58,7884.72,1.60669,1.65905,1.66004,0.7339,0.62969,0.68345,0.37087,1.59592,1.35841,1.63394,0.00202975,0.00202975,0.00202975
59,8019.56,1.61741,1.65195,1.6717,0.74506,0.63568,0.68521,0.37094,1.59462,1.34192,1.63628,0.0020215,0.0020215,0.0020215
60,8154.37,1.60116,1.66734,1.6604,0.77798,0.62757,0.69705,0.37949,1.5756,1.30041,1.61364,0.00201325,0.00201325,0.00201325
61,8289.02,1.60129,1.64205,1.64683,0.74091,0.63741,0.68977,0.37632,1.56692,1.30379,1.62065,0.002005,0.002005,0.002005
62,8423.71,1.59329,1.60978,1.64747,0.74866,0.625,0.6876,0.37845,1.57604,1.30286,1.61609,0.00199675,0.00199675,0.00199675
